"Station Name","ROUYN-NORANDA A"
"Province","QUEBEC"
"Current Station Operator","NAV Canada"
"Latitude","48.21"
"Longitude","-78.84"
"Elevation","301.10"
"Climate Identifier","7086719"
"WMO Identifier",""
"TC Identifier","YUY"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp","Temp Flag","Dew Point Temp","Dew Point Temp Flag","Rel Hum","Rel Hum Flag","Wind Dir","Wind Dir Flag","Wind Spd","Wind Spd Flag","Visibility","Visibility Flag","Stn Press","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-17 06:00","2018","06","17","06:00","18.6","","16.3","","87","","23","","8","","24.1","","97.85","","","","","","NA"
"2018-06-17 07:00","2018","06","17","07:00","18.3","","16.9","","91","","21","","9","","19.3","","97.88","","","","","","Rain Showers"
"2018-06-17 08:00","2018","06","17","08:00","18.6","","17.4","","93","","18","","10","","19.3","","97.88","","","","","","Rain Showers"
"2018-06-17 09:00","2018","06","17","09:00","19.1","","17.7","","92","","19","","7","","19.3","","97.83","","","","","","Rain Showers"
"2018-06-17 10:00","2018","06","17","10:00","19.8","","18.1","","90","","22","","16","","19.3","","97.79","","","","","","Cloudy"
"2018-06-17 11:00","2018","06","17","11:00","21.8","","18.0","","79","","21","","16","","24.1","","97.72","","28","","","","NA"
"2018-06-17 12:00","2018","06","17","12:00","22.1","","17.8","","77","","22","","19","","24.1","","97.67","","28","","","","NA"
"2018-06-17 13:00","2018","06","17","13:00","22.9","","18.5","","76","","23","","15","","24.1","","97.60","","29","","","","Cloudy"
"2018-06-17 14:00","2018","06","17","14:00","23.4","","19.1","","77","","23","","14","","24.1","","97.56","","30","","","","NA"
"2018-06-17 15:00","2018","06","17","15:00","23.8","","20.1","","80","","21","","13","","24.1","","97.48","","31","","","","Rain Showers"
"2018-06-17 16:00","2018","06","17","16:00","24.8","","19.5","","72","","22","","22","","24.1","","97.46","","32","","","","Cloudy"
"2018-06-17 17:00","2018","06","17","17:00","23.9","","19.6","","76","","22","","11","","24.1","","97.41","","31","","","","NA"
"2018-06-17 18:00","2018","06","17","18:00","22.5","","20.3","","87","","22","","12","","16.1","","97.41","","30","","","","Rain Showers"
"2018-06-17 19:00","2018","06","17","19:00","21.3","","20.3","","94","","22","","16","","9.7","","97.34","","29","","","","Rain Showers"
"2018-06-17 20:00","2018","06","17","20:00","20.7","","20.2","","97","","19","","12","","4.8","","97.22","","28","","","","Rain Showers,Fog"
"2018-06-17 21:00","2018","06","17","21:00","20.5","","20.2","","98","","28","","8","","16.1","","97.33","","28","","","","NA"
"2018-06-17 22:00","2018","06","17","22:00","20.0","","19.9","","99","","25","","9","","24.1","","97.34","","27","","","","Mostly Cloudy"
"2018-06-17 23:00","2018","06","17","23:00","19.9","","19.9","","100","","20","","8","","9.7","","97.30","","","","","","Fog"
"2018-06-18 00:00","2018","06","18","00:00","20.1","","20.1","","100","","23","","10","","9.7","","97.27","","28","","","","Fog"
"2018-06-18 01:00","2018","06","18","01:00","20.4","","20.4","","100","","23","","10","","8.1","","97.25","","28","","","","Fog"
"2018-06-18 02:00","2018","06","18","02:00","20.2","","20.2","","100","","36","","3","","8.1","","97.18","","28","","","","Fog"
"2018-06-18 03:00","2018","06","18","03:00","20.4","","20.1","","98","","23","","6","","24.1","","97.13","","28","","","","NA"
"2018-06-18 04:00","2018","06","18","04:00","19.8","","19.8","","100","","23","","6","","4.0","","97.10","","","","","","Fog"
"2018-06-18 05:00","2018","06","18","05:00","20.5","","20.5","","100","","30","","4","","4.0","","97.08","","28","","","","Fog"
"2018-06-18 06:00","2018","06","18","06:00","20.5","","19.9","","96","","30","","9","","9.7","","97.10","","28","","","","Fog"
"2018-06-18 07:00","2018","06","18","07:00","19.3","","18.5","","95","","1","","14","","24.1","","97.13","","","","","","Cloudy"
"2018-06-18 08:00","2018","06","18","08:00","18.6","","18.2","","97","","36","","10","","4.8","","97.17","","","","","","Rain,Fog"
"2018-06-18 09:00","2018","06","18","09:00","17.4","","16.2","","93","","2","","10","","24.1","","97.18","","","","","","NA"
